_from,to,category,score,normalized_score
actor,causante,politic,2,0.045920884776933006
actor,control,tech,1,0.0
actor,desplazamiento,politic,1,0.017859734329195735
actor,identificado,politic,3,0.07398203522467027
actor,malicioso,tech,6,0.051007080592707664
actor,medida,tech,1,0.0
actor,region,politic,1,0.017859734329195735
actor,tomar,tech,2,0.010201416118541534
actor,violencia,politic,3,0.07398203522467027
actualidad,bajo,tech,2,0.010201416118541534
actualidad,dedicado,tech,3,0.020402832237083064
actualidad,dispositivo,tech,1,0.0
actualidad,exclusivamente,tech,2,0.010201416118541534
actualidad,fabricante,tech,2,0.010201416118541534
actualidad,id,tech,1,0.0
actualidad,modelo,tech,1,0.0
actualidad,revelo,tech,3,0.020402832237083064
actualidad,titulo,tech,3,0.020402832237083064
actualizacion,aplicacion,tech,3,0.020402832237083064
actualizacion,automatico,tech,1,0.0
actualizacion,bloqueo,tech,1,0.0
actualizacion,buscar,tech,3,0.020402832237083064
actualizacion,busqueda,tech,1,0.0
actualizacion,caja,tech,2,0.010201416118541534
actualizacion,cubierta,tech,2,0.010201416118541534
actualizacion,cuero,tech,1,0.0
actualizacion,diferenciacion,tech,2,0.010201416118541534
actualizacion,elemento,tech,2,0.010201416118541534
actualizacion,enriquecer,tech,3,0.020402832237083064
actualizacion,espacio,tech,1,0.0
actualizacion,funcionalidad,tech,2,0.010201416118541534
actualizacion,hz,tech,3,0.020402832237083064
actualizacion,idea,tech,1,0.0
actualizacion,integracion,tech,3,0.020402832237083064
actualizacion,limitado,tech,1,0.0
actualizacion,mantener,tech,2,0.010201416118541534
actualizacion,mejora,tech,3,0.020402832237083064
actualizacion,mitigar,tech,3,0.020402832237083064
actualizacion,mostrar,tech,1,0.0
actualizacion,ofrecer,tech,3,0.020402832237083064
actualizacion,permitir,tech,2,0.010201416118541534
actualizacion,politica,tech,2,0.010201416118541534
actualizacion,proponer,tech,3,0.020402832237083064
actualizacion,significativo,tech,3,0.020402832237083064
actualizacion,sistema,tech,2,0.010201416118541534
actualizacion,usuario,tech,3,0.020402832237083064
actualizacion,visual,tech,3,0.020402832237083064
actualizacion,vulnerabilidad,tech,2,0.010201416118541534
